idx, lp_name, lp_address, token0, token0_name, token1, token1_name, alloc, weekRewardUsd, tvlUsd, apr 
0,DINO_BEL_WETH,0x49ceCfa5c62b3A97F58CAd6B4aCc7c74810E1DDa,0x28C388FB1F4fa9F9eB445f0579666849EE5eeb42,BEL,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,1000,26201,6579277,21
1,DINO_WETH_DFYN,0x6fA867BBFDd025780a8CFE988475220AfF51FB8b,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xC168E40227E4ebD8C1caE80F7a55a4F0e6D66C97,DFYN,1000,26201,1938853,70
2,DINO_USDC_xMARK,0x97A95deb56d689802F02f50c25EBCda5d0A49591,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0xf153EfF70DC0bf3b085134928daeEA248d9B30d0,xMARK,1000,26201,4030622,34
3,DINO_stkGHST-WETH,0x388E2a3d389F27504212030c2D42Abf0a8188cd1,,stkGHST-WETH,,,1000,26201,376117,363
4,DINO_WETH_SX,0x1bF9805B40a5f69c7d0f9E5d1Ab718642203c652,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x840195888Db4D6A99ED9F73FcD3B225Bb3cB1A79,SX,1000,26201,7911410,17
5,DINO_WMATIC_CGG,0xd74d23d2f23CD06a7D94f740A74c6E906F0C9005,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x2Ab4f9aC80F33071211729e45Cfc346C1f8446d5,CGG,1000,26201,2891861,47
6,DINO_WMATIC_WETH,0xadbF1854e5883eB8aa7BAf50705338739e558E5b,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0,0,20111397,0
7,DINO_USDC_WETH,0x853Ee4b2A13f8a742d64C8F088bE7bA2131f670d,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0,0,14630048,0
8,DINO_USDC_USDT,0x2cF7252e74036d1Da831d11089D326296e64a728,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,USDT,0,0,225743,0
9,DINO_USDC_miMATIC,0x160532D2536175d65C03B97b0630A9802c274daD,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0xa3Fa99A148fA48D14Ed51d610c367C61876997F1,miMATIC,0,0,96436,0
10,DINO_USDC_DINO,0x3324af8417844e70b81555A6D1568d78f4D4Bf1f,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0xAa9654BECca45B5BDFA5ac646c939C62b527D394,DINO,16000,419222,14239346,154
11,DINO_WETH_DINO,0x9f03309A588e33A239Bf49ed8D68b2D45C7A1F11,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xAa9654BECca45B5BDFA5ac646c939C62b527D394,DINO,8000,209611,7306953,150
12,DINO_UST_USDT,0x39BEd7f1C412ab64443196A6fEcb2ac20C707224,0x692597b009d13C4049a947CAB2239b7d6517875F,UST,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,USDT,1000,26201,14213602,10
13,DINO_WETH_ARPA,0x590F5E967d73eA06DAE9aED2788108DCF52dA269,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xEE800B277A96B0f490a1A732e1D6395FAD960A26,ARPA,1000,26201,6691713,20
14,DINO_SFI_WETH,0x7C07CecD8cdd65C0daD449808cc5f9AD74C22bd1,0x35b937583F04A24963eb685F728a542240f28Dd8,SFI,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,1000,26201,3004466,45
15,DINO_ROUTE (PoS)_WETH,0xeBC4f9B1cE66258AC3A48578FFEEba1330dDB68B,0x16ECCfDbb4eE1A85A33f3A9B21175Cd7Ae753dB4,ROUTE (PoS),0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,1000,26201,1808246,76
16,DINO_USDC_$DG,0x27CE41B9eeB94cC122eF3B5e409b2900d3e0A629,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x2a93172c8DCCbfBC60a39d56183B7279a2F647b4,$DG,1000,26201,2477656,55
17,DINO_USDC_FOR,0xA1c3eb6fE2bB452AaC4d9247478594bf04750017,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x546b4c391520E6652897c65153074088BFC0A909,FOR,1000,26201,1476126,93
18,DINO_USDC_DNXC,0xE169a660d720917B4fB7e95f045B6f60a64EB10A,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0xcaF5191fc480F43e4DF80106c7695ECA56E48B18,DNXC,1000,26201,886743,154
19,DINO_USDC_ORBS,0xB2b6D423e535b57aaD06E9866803B95fB66152EA,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x614389EaAE0A6821DC49062D56BDA3d9d45Fa2ff,ORBS,1000,26201,1918521,71
